Date,Exam series,Board,Qualification,Examination code,Category,base_subject,Subject,Title,Time,Duration,Tier
15/05/2025,Jun-25,OCR,GCSE,J198/01,Humanities,Ancient History,Ancient History,Greece and Persia,PM,2h 00m,
03/06/2025,Jun-25,OCR,GCSE,J198/02,Humanities,Ancient History,Ancient History,Rome and its neighbours,PM,2h 00m,
22/05/2025,Jun-25,Pearson,GCSE,1AA0 1F,Languages,Arabic,Arabic,Paper 1: Listening and understanding in Arabic,PM,35m,F
22/05/2025,Jun-25,Pearson,GCSE,1AA0 1H,Languages,Arabic,Arabic,Paper 1: Listening and understanding in Arabic,PM,45m,H
22/05/2025,Jun-25,Pearson,GCSE,1AA0 3F,Languages,Arabic,Arabic,Paper 3: Reading and understanding in Arabic,PM,50m,F
22/05/2025,Jun-25,Pearson,GCSE,1AA0 3H,Languages,Arabic,Arabic,Paper 3: Reading and understanding in Arabic,PM,1h 05m,H
03/06/2025,Jun-25,Pearson,GCSE,1AA0 4F,Languages,Arabic,Arabic,Paper 4: Writing in Arabic,AM,1h 20m,F
03/06/2025,Jun-25,Pearson,GCSE,1AA0 4H,Languages,Arabic,Arabic,Paper 4: Writing in Arabic,AM,1h 25m,H
31/05/2025,Jun-25,AQA,GCSE,8201,Arts,Art,"Art and Design (Art, craft and design)",Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8201/C,Arts,Art,"Art and Design (Art, craft and design)",Non-exam assessment - portfolio,,10h,
31/05/2025,Jun-25,AQA,GCSE,8202,Arts,Art,Art and Design (Fine art),Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8202/C,Arts,Art,Art and Design (Fine art),Non-exam assessment - portfolio,,10h,
31/05/2025,Jun-25,AQA,GCSE,8203,Arts,Art,Art and Design (Graphic communication),Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8203/C,Arts,Art,Art and Design (Graphic communication),Non-exam assessment - portfolio,,10h,
31/05/2025,Jun-25,AQA,GCSE,8206,Arts,Art,Art and Design (Photography),Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8206/C,Arts,Art,Art and Design (Photography),Non-exam assessment - portfolio,,10h,
31/05/2025,Jun-25,AQA,GCSE,8204,Arts,Art,Art and Design (Textile design),Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8204/C,Arts,Art,Art and Design (Textile design),Non-exam assessment - portfolio,,10h,
31/05/2025,Jun-25,AQA,GCSE,8205,Arts,Art,Art and Design (Three-dimensional design),Non-exam assessment - externally set assignment,,10h,
31/05/2025,Jun-25,AQA,GCSE,8205/C,Arts,Art,Art and Design (Three-dimensional design),Non-exam assessment - portfolio,,10h,
02/06/2025,Jun-25,Pearson,GCSE,1AS0 01,Science,Astronomy,Astronomy,Paper 1: Naked-eye Astronomy,PM,1h 45m,
12/06/2025,Jun-25,Pearson,GCSE,1AS0 02,Science,Astronomy,Astronomy,Paper 2: Telescopic Astronomy,PM,1h 45m,
03/06/2025,Jun-25,AQA,GCSE,8638/LF,Languages,Bengali,Bengali,Listening,PM,35m,F
03/06/2025,Jun-25,AQA,GCSE,8638/LH,Languages,Bengali,Bengali,Listening,PM,45m,H
03/06/2025,Jun-25,AQA,GCSE,8638/RF,Languages,Bengali,Bengali,Reading,PM,45m,F
03/06/2025,Jun-25,AQA,GCSE,8638/RH,Languages,Bengali,Bengali,Reading,PM,1h,H
19/05/2025,Jun-25,AQA,GCSE,8638/SF,Languages,Bengali,Bengali,Speaking test,,,F
19/05/2025,Jun-25,AQA,GCSE,8638/SH,Languages,Bengali,Bengali,Speaking test,,,H
12/06/2025,Jun-25,AQA,GCSE,8638/WF,Languages,Bengali,Bengali,Writing,AM,1h,F
12/06/2025,Jun-25,AQA,GCSE,8638/WH,Languages,Bengali,Bengali,Writing,AM,1h 15m,H
08/05/2025,Jun-25,Pearson,GCSE,1BH0 01,Languages,Biblical Hebrew,Biblical Hebrew,Component 1: Language,AM,2h 00m,
20/05/2025,Jun-25,Pearson,GCSE,1BH0 02,Languages,Biblical Hebrew,Biblical Hebrew,Component 2: Literature,PM,2h 00m,
13/05/2025,Jun-25,Pearson,GCSE,1BI0 1F,Science,Biology,Biology,Paper 1,PM,1h 45m,F
13/05/2025,Jun-25,Pearson,GCSE,1BI0 1H,Science,Biology,Biology,Paper 1,PM,1h 45m,H
09/06/2025,Jun-25,Pearson,GCSE,1BI0 2F,Science,Biology,Biology,Paper 2,AM,1h 45m,F
09/06/2025,Jun-25,Pearson,GCSE,1BI0 2H,Science,Biology,Biology,Paper 2,AM,1h 45m,H
13/05/2025,Jun-25,AQA,GCSE,8461/1F,Science,Biology,Biology,Paper 1,PM,1h 45m,F
13/05/2025,Jun-25,AQA,GCSE,8461/1H,Science,Biology,Biology,Paper 1,PM,1h 45m,H
09/06/2025,Jun-25,AQA,GCSE,8461/2F,Science,Biology,Biology,Paper 2,AM,1h 45m,F
09/06/2025,Jun-25,AQA,GCSE,8461/2H,Science,Biology,Biology,Paper 2,AM,1h 45m,H
13/05/2025,Jun-25,OCR,GCSE,J247/01,Science,Biology,Biology A (Gateway Science),Paper 1,PM,1h 45m,F
09/06/2025,Jun-25,OCR,GCSE,J247/02,Science,Biology,Biology A (Gateway Science),Paper 2,AM,1h 45m,F
13/05/2025,Jun-25,OCR,GCSE,J247/03,Science,Biology,Biology A (Gateway Science),Paper 3,PM,1h 45m,H
09/06/2025,Jun-25,OCR,GCSE,J247/04,Science,Biology,Biology A (Gateway Science),Paper 4,AM,1h 45m,H
13/05/2025,Jun-25,OCR,GCSE,J257/01,Science,Biology,Biology B (Twenty First Century Science),Breadth in Biology,PM,1h 45m,F
09/06/2025,Jun-25,OCR,GCSE,J257/02,Science,Biology,Biology B (Twenty First Century Science),Depth in Biology,AM,1h 45m,F
13/05/2025,Jun-25,OCR,GCSE,J257/03,Science,Biology,Biology B (Twenty First Century Science),Breadth in Biology,PM,1h 45m,H
09/06/2025,Jun-25,OCR,GCSE,J257/04,Science,Biology,Biology B (Twenty First Century Science),Depth in Biology,AM,1h 45m,H
09/05/2025,Jun-25,Eduqas,GCSE,C510U10,Other,Business,Business,Component 1,PM,2h,
16/05/2025,Jun-25,Eduqas,GCSE,C510U20,Other,Business,Business,Component 2,PM,1h 30m,
09/05/2025,Jun-25,Pearson,GCSE,1BS0 01,Other,Business,Business,Paper 1: Investigating Small Business,PM,1h 45m,
16/05/2025,Jun-25,Pearson,GCSE,1BS0 02,Other,Business,Business,Paper 2: Building a Business,PM,1h 45m,
09/05/2025,Jun-25,AQA,GCSE,8132/1,Other,Business,Business,Paper 1: Influences of operations and HRM on business activity,PM,1h 45m,
16/05/2025,Jun-25,AQA,GCSE,8132/2,Other,Business,Business,Paper 2: Influences of marketing and finance on business activity,PM,1h 45m,
09/05/2025,Jun-25,OCR,GCSE,J204/01,Other,Business,Business,"Business 1: business activity, marketing and people",PM,1h 30m,
