Date,Exam series,Board,Qualification,Examination code,Category,base_subject,Subject,Title,Time,Duration,Tier,Level
31/05/2025,Jun-25,AQA,GCSE,8201,Arts & Design,Art,"Art and Design (Art, craft and design)",Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8201/C,Arts & Design,Art,"Art and Design (Art, craft and design)",Non-exam assessment - portfolio,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8202,Arts & Design,Art,Art and Design (Fine art),Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8202/C,Arts & Design,Art,Art and Design (Fine art),Non-exam assessment - portfolio,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8203,Arts & Design,Art,Art and Design (Graphic communication),Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8203/C,Arts & Design,Art,Art and Design (Graphic communication),Non-exam assessment - portfolio,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8206,Arts & Design,Art,Art and Design (Photography),Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8206/C,Arts & Design,Art,Art and Design (Photography),Non-exam assessment - portfolio,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8204,Arts & Design,Art,Art and Design (Textile design),Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8204/C,Arts & Design,Art,Art and Design (Textile design),Non-exam assessment - portfolio,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8205,Arts & Design,Art,Art and Design (Three-dimensional design),Non-exam assessment - externally set assignment,,10h,,2
31/05/2025,Jun-25,AQA,GCSE,8205/C,Arts & Design,Art,Art and Design (Three-dimensional design),Non-exam assessment - portfolio,,10h,,2
09/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R093/01,Arts & Design,Creative iMedia,Creative iMedia,Creative iMedia in the media industry:Written Paper,PM,1h 30m,,2
07/05/2025,Jun-25,AQA,GCSE,8236/C,Arts & Design,Dance,Dance,Performance and Choreography,,,,2
02/06/2025,Jun-25,AQA,GCSE,8236/W,Arts & Design,Dance,Dance,Dance appreciation,PM,1h 30m,,2
07/05/2025,Jun-25,AQA,GCSE,8552/C,Arts & Design,Design and Technology,Design and Technology,Non-exam assessment,,,,2
18/06/2025,Jun-25,AQA,GCSE,8552/W,Arts & Design,Design and Technology,Design and Technology,Written,AM,2h,,2
18/06/2025,Jun-25,OCR,GCSE,J310/01,Arts & Design,Design and Technology,Design and Technology,Principles of Design and Technology,AM,2h 00m,,2
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1A-F,Arts & Design,Design and Technology,Design and Technology,Component 1,AM,1h 45m,,2
18/06/2025,Jun-25,Eduqas,GCSE,C600U10,Arts & Design,Design and Technology,Design and Technology,Component 1,AM,2h,,2
07/05/2025,Jun-25,AQA,GCSE,8261/C,Arts & Design,Drama,Drama,Non-exam assessment - Devising drama,,,,2
08/05/2025,Jun-25,Pearson,GCSE,1DR0 03,Arts & Design,Drama,Drama,Component 3: Theatre Makers in Practice,AM,1h 45m,,2
08/05/2025,Jun-25,AQA,GCSE,8261/W,Arts & Design,Drama,Drama,Understanding drama,AM,1h 45m,,2
08/05/2025,Jun-25,OCR,GCSE,J316/04,Arts & Design,Drama,Drama,Drama: Performance and response,AM,1h 30m,,2
09/05/2025,Jun-25,Eduqas,GCSE,C690U30,Arts & Design,Drama,Drama,Component 3,AM,1h 30m,,2
31/05/2025,Jun-25,AQA,GCSE,8261/X,Arts & Design,Drama,Drama,Non-exam assessment - Texts in practice,,,,2
08/05/2025,Jun-25,Eduqas,GCSE,C490UA0,Arts & Design,Electronics,Electronics,Component 1,PM,1h 30m,,2
16/05/2025,Jun-25,Eduqas,GCSE,C490U20,Arts & Design,Electronics,Electronics,Component 2,PM,1h 30m,,2
07/05/2025,Jun-25,AQA,GCSE,8852/C,Arts & Design,Engineering,Engineering,Non-exam assessment,,,,2
02/06/2025,Jun-25,AQA,GCSE,8852/W,Arts & Design,Engineering,Engineering,Written,PM,2h,,2
13/05/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R038/01,Arts & Design,Engineering Design,Engineering Design,Principles of engineering design:Written Paper,AM,1h 15m,,2
03/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R014/01,Arts & Design,Engineering Manufacture,Engineering Manufacture,Principles of engineering manufacture:Written Paper,PM,1h 15m,,2
12/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R047/01,Arts & Design,Engineering Programmable Systems,Engineering Programmable Systems,Principles of electronic and programmable systems:Written Paper,PM,1h 15m,,2
09/05/2025,Jun-25,Eduqas,GCSE,C670U10,Arts & Design,Film Studies,Film Studies,Component 1,AM,1h 30m,,2
21/05/2025,Jun-25,Eduqas,GCSE,C670U20,Arts & Design,Film Studies,Film Studies,Component 2,PM,1h 30m,,2
07/05/2025,Jun-25,AQA,GCSE,8585/C,Arts & Design,Food Preparation and Nutrition,Food preparation and nutrition,Non-exam assessment,,,,2
17/06/2025,Jun-25,AQA,GCSE,8585/W,Arts & Design,Food Preparation and Nutrition,Food preparation and nutrition,Paper 1: Food preparation and nutrition,PM,1h 45m,,2
17/06/2025,Jun-25,OCR,GCSE,J309/01,Arts & Design,Food Preparation and Nutrition,Food Preparation and Nutrition,Food preparation and nutrition,PM,1h 30m,,2
17/06/2025,Jun-25,Eduqas,GCSE,C560UA/B0,Arts & Design,Food Preparation and Nutrition,Food Preparation and Nutrition,Component 1,PM,1h 45m,,2
07/05/2025,Jun-25,AQA,GCSE,8271/C,Arts & Design,Music,Music,Non-exam assessment: Composing music,,,,2
07/05/2025,Jun-25,AQA,GCSE,8271/P,Arts & Design,Music,Music,Non-exam assessment: Performing music,,,,2
16/06/2025,Jun-25,Pearson,GCSE,1MU0 03,Arts & Design,Music,Music,Component 3: Appraising,PM,1h 45m,,2
16/06/2025,Jun-25,AQA,GCSE,8271/W,Arts & Design,Music,Music,Understanding music,PM,1h 30m,,2
16/06/2025,Jun-25,OCR,GCSE,J536/05,Arts & Design,Music,Music,Listening and appraising,PM,1h 30m,,2
16/06/2025,Jun-25,Eduqas,GCSE,C660U30,Arts & Design,Music,Music,Component 3,PM,1h 15m,,2
07/05/2025,Jun-25,AQA,GCSE,8700/C,English,English Language,English Language,Non-exam assessment: Spoken Language,,,,2
23/05/2025,Jun-25,Pearson,GCSE,1EN0 01,English,English Language,English Language,Paper 1: Fiction and Imaginative Writing,AM,1h 45m,,2
23/05/2025,Jun-25,AQA,GCSE,8700/1,English,English Language,English Language,Explorations in creative reading and writing,AM,1h 45m,,2
23/05/2025,Jun-25,OCR,GCSE,J351/01,English,English Language,English Language,Communicating information and ideas,AM,2h 00m,,2
23/05/2025,Jun-25,Pearson,GCSE,1EN2 01,English,English Language,English Language 2.0,Paper 1: Non-Fiction Texts,AM,1h 55m,,2
23/05/2025,Jun-25,Eduqas,GCSE,C700U10,English,English Language,English Language,Component 1,AM,1h 45m,,2
06/06/2025,Jun-25,Pearson,GCSE,1EN0 02,English,English Language,English Language,Paper 2: Non-Fiction and Transactional Writing,AM,2h 05m,,2
06/06/2025,Jun-25,AQA,GCSE,8700/2,English,English Language,English Language,Writers' viewpoints and perspectives,AM,1h 45m,,2
06/06/2025,Jun-25,OCR,GCSE,J351/02,English,English Language,English Language,Exploring effects and impact,AM,2h 00m,,2
06/06/2025,Jun-25,Pearson,GCSE,1EN2 02,English,English Language,English Language 2.0,Paper 2: Contemporary Texts,AM,1h 55m,,2
